time,open,high,low,close,volume,symbol,target_date
2026-09-07 07:00:00,10.9,10.9,10.9,10.9,700,ABR,2026-09-07
2026-09-07 07:00:00,50.3,50.4,50.1,50.1,3200,ABT,2026-09-07
2026-09-07 07:00:00,22.2,22.35,22.15,22.25,3963500,ACB,2026-09-07
2026-09-07 07:00:00,4.65,4.65,4.44,4.45,795600,ACC,2026-09-07
2026-09-07 07:00:00,41.0,41.1,40.3,40.6,507500,ACV,2026-09-07
2026-09-07 07:00:00,10.0,10.2,10.0,10.0,129900,AFX,2026-09-07
2026-09-07 07:00:00,11.5,11.6,11.5,11.6,1700,AG1,2026-09-07
2026-09-07 07:00:00,10.75,10.8,10.55,10.55,329000,AGG,2026-09-07
2026-09-07 07:00:00,28.9,28.9,27.0,28.0,2000,AGP,2026-09-07
2026-09-07 07:00:00,6.5,6.5,6.5,6.5,4000,ALV,2026-09-07
2026-09-07 07:00:00,18.45,18.9,18.0,18.9,39300,ANT,2026-09-07
2026-09-07 07:00:00,16.9,17.05,16.6,16.65,293500,ANV,2026-09-07
2026-09-07 07:00:00,45.0,45.0,44.6,44.9,10200,APF,2026-09-07
2026-09-07 07:00:00,4.86,4.92,4.78,4.83,201500,APG,2026-09-07
2026-09-07 07:00:00,4.2,4.2,4.2,4.2,100,APP,2026-09-07
2026-09-07 07:00:00,5.61,5.61,5.45,5.47,365200,ASM,2026-09-07
2026-09-07 07:00:00,23.4,23.4,23.4,23.4,100,ATS,2026-09-07
2026-09-07 07:00:00,41.0,41.0,41.0,41.0,100,AVC,2026-09-07
2026-09-07 07:00:00,8.1,8.2,8.1,8.1,2700,AVG,2026-09-07
2026-09-07 07:00:00,10.7,10.9,10.7,10.7,4400,BAB,2026-09-07
2026-09-07 07:00:00,32.65,32.7,32.1,32.2,1955000,BAF,2026-09-07
2026-09-07 07:00:00,19.9,19.9,19.9,19.9,100,BCA,2026-09-07
2026-09-07 07:00:00,42.7,44.2,42.3,42.4,699200,BCM,2026-09-07
2026-09-07 07:00:00,25.5,25.5,25.5,25.5,1400,BDW,2026-09-07
2026-09-07 07:00:00,31.4,31.6,31.4,31.4,2200,BHN,2026-09-07
2026-09-07 07:00:00,9.6,9.6,8.5,8.5,500,BHP,2026-09-07
2026-09-07 07:00:00,13.2,13.2,13.0,13.2,56300,BMS,2026-09-07
2026-09-07 07:00:00,17.0,17.1,17.0,17.1,500,BNW,2026-09-07
2026-09-07 07:00:00,12.0,12.0,12.0,12.0,1000,BT1,2026-09-07
